Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_009333520.1,hypothetical protein 1 [Beihai razor shell virus 1],1770,47.27,0.00,2,o819-841i903-925o,0.343,No mitochondrial presequence,22(MPP),0.273,58-62,1-13-low,-,-,-,-,-,1-6,-,-,-,-,-,-,-,-
YP_009333524.1,hypothetical protein 1 [Beihai picorna-like virus 90],1994,56.26,0.01,1,i301-323o,0.142,No mitochondrial presequence,28(MPP),0.143,,8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333554.1,hypothetical protein 1 [Beihai picorna-like virus 14],1769,105.60,18.04,4,o50-72i104-126o882-904i945-963o,0.474,Possessing mitochondrial presequence,23(MPP),0.261,"24-28,96-100",9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333560.1,hypothetical protein 1 [Beihai picorna-like virus 24],1714,71.15,0.00,2,o782-804i811-828o,0.162,No mitochondrial presequence,36(MPP),0.083,"1-5,62-66,72-76",7-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009333586.1,hypothetical protein 1 [Beihai picorna-like virus 20],2015,119.60,12.67,7,i49-68o72-91i235-257o937-956i963-982o986-1005i1033-1050o,0.533,Possessing mitochondrial presequence,41(MPP),0.122,"4-8,86-90",3-13-high,-,-,-,-,-,-,-,-,2-7,-,1-6,-,-,-
YP_009333600.1,hypothetical protein 1 [Beihai picorna-like virus 51],1968,88.49,0.00,4,o958-980i1035-1057o1070-1092i1130-1152o,0.230,No mitochondrial presequence,28(MPP),0.143,,13-23-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009255070.1,glycosyltransferase [Tokyovirus A1],628,19.88,0.08,1,i61-83o,0.204,No mitochondrial presequence,14(MPP),0.214,"32-36,62-66",17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009277773.1,hypothetical protein SEA_TERAPIN_34 [Gordonia phage Terapin],122,22.62,22.62,1,o5-27i,0.208,No mitochondrial presequence,"26(MPP), 27(Icp55*)",0.038,"23-27,68-72",20-29-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009289682.1,membrane protein [Gordonia phage Zirinka],118,76.77,38.09,4,i16-33o37-59i66-85o89-106i,0.171,No mitochondrial presequence,15(MPP),0.133,3-7,2-11-low,-,-,-,-,-,-,16-21,-,-,15-20,-,-,-,-
YP_009336551.1,putative glycoprotein 2 [Wenling nido-like virus 1],656,25.03,2.09,1,o624-646i,0.203,No mitochondrial presequence,37(MPP),0.135,22-26,11-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336583.1,hypothetical protein 1 [Hubei picorna-like virus 16],1751,90.08,0.01,5,i294-316o320-339i352-374o865-887i976-995o,0.218,No mitochondrial presequence,17(MPP),0.176,,13-23-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336585.1,hypothetical protein 1 [Wenling crustacean virus 11],449,37.85,0.25,1,o174-196i,0.114,No mitochondrial presequence,"39(MPP), 40(Icp55*)",0.103,"8-12,32-36,60-64,71-75",5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336619.1,hypothetical protein 1 [Changjiang picorna-like virus 6],1633,75.12,0.00,3,i128-150o217-239i251-273o,0.209,No mitochondrial presequence,"39(MPP), 40(Icp55*)",0.128,87-91,20-29-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336646.1,hypothetical protein 1 [Wenzhou picorna-like virus 2],1783,44.52,0.81,2,o685-707i742-761o,0.196,No mitochondrial presequence,21(MPP),0.190,,3-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336737.1,hypothetical protein 1 [Changjiang picorna-like virus 8],1714,31.84,0.00,1,i276-298o,0.236,No mitochondrial presequence,12(MPP),0.250,"21-25,72-76",4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,21-26,-
YP_009336760.1,hypothetical protein 1 [Changjiang crawfish virus 3],1597,64.08,0.00,3,i94-116o155-172i177-199o,0.262,No mitochondrial presequence,13(MPP),0.154,"11-15,45-49,66-70",7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336766.1,hypothetical protein [Sanxia atyid shrimp virus 1],208,79.22,2.25,4,i58-75o90-112i121-143o158-180i,0.169,No mitochondrial presequence,52(MPP),0.154,75-79,9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336829.1,hypothetical protein [Shahe picorna-like virus 4],2684,57.89,0.00,2,o871-893i925-947o,0.187,No mitochondrial presequence,64(MPP),0.047,"14-18,82-86",14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336836.1,putative glycoprotein 2 [Hubei lepidoptera virus 2],560,44.48,21.89,2,i13-35o477-499i,0.104,No mitochondrial presequence,55(MPP),0.127,"15-19,93-97",10-19-high,-,-,-,-,-,-,-,-,-,-,-,14-19,-,-
YP_009336841.1,hypothetical protein [Hubei hepe-like virus 1],206,73.14,0.00,4,i75-92o127-144i151-173o188-205i,0.323,No mitochondrial presequence,18(MPP),0.333,,19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336905.1,hypothetical protein 1 [Sanxia sobemo-like virus 3],619,62.02,21.94,2,i27-49o122-144i,0.113,No mitochondrial presequence,25(MPP),0.000,"22-26,48-52,67-71",10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,22-27,-
YP_009336918.1,hypothetical protein [Wenzhou picorna-like virus 25],2761,47.17,0.00,2,o493-515i569-591o,0.119,No mitochondrial presequence,24(MPP),0.042,,1-10-high,-,7-12,-,-,-,-,-,-,-,-,-,-,-,-
YP_009336927.1,hypothetical protein 1 [Shahe picorna-like virus 3],1562,77.04,0.00,2,o684-706i727-744o,0.490,Possessing mitochondrial presequence,21(MPP),0.190,90-94,11-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337054.1,hypothetical protein [Jingmen picorna-like virus],3238,67.38,0.00,3,i334-356o376-398i411-433o,0.140,No mitochondrial presequence,"78(MPP), 79(Icp55*)",0.000,66-70,10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337109.1,hypothetical protein 3 [Wenzhou crab virus 5],248,24.51,2.31,1,i171-193o,0.117,No mitochondrial presequence,55(MPP),0.109,67-71,19-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337138.1,putative glycoprotein [Hubei diptera virus 9],536,23.91,1.39,1,o476-498i,0.218,No mitochondrial presequence,25(MPP),0.080,1-5,21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337158.1,hypothetical protein 2 [Wenling tombus-like virus 1],480,19.05,0.00,1,i243-265o,0.111,No mitochondrial presequence,"46(MPP), 47(Icp55*)",0.109,"44-48,48-52,85-89,96-100",1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337210.1,hypothetical protein 1 [Hubei picorna-like virus 21],1836,69.97,0.00,2,o317-339i416-438o,0.442,Possessing mitochondrial presequence,70(MPP),-0.086,80-84,21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337280.1,hypothetical protein [Wenling hepe-like virus 4],236,22.47,20.62,1,i7-29o,0.225,No mitochondrial presequence,57(MPP),0.018,8-12,2-11-high,-,-,-,-,-,-,-,-,-,-,-,7-12,8-13,-
YP_009337353.1,hypothetical protein 2 [Wenzhou sobemo-like virus 3],215,22.99,0.17,1,o188-210i,0.198,No mitochondrial presequence,"21(MPP), 22(Icp55*)",-0.048,"18-22,42-46,52-56,95-99",17-27-high,-,-,-,-,-,-,-,-,-,-,-,17-22,18-23,-
YP_009337362.1,hypothetical protein 1 [Wenzhou picorna-like virus 5],1688,106.42,12.54,5,i48-70o80-102i782-801o805-827i848-867o,0.144,No mitochondrial presequence,"85(MPP), 86(Icp55*)",0.141,"82-86,86-90",3-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337384.1,hypothetical protein 2 [Changjiang tombus-like virus 6],312,42.22,0.00,2,i211-233o280-302i,0.201,No mitochondrial presequence,15(MPP),0.467,"13-17,31-35",10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337411.1,hypothetical protein [Hubei picorna-like virus 58],2856,43.87,23.96,2,o22-41i54-76o,0.238,No mitochondrial presequence,84(MPP),0.060,"75-79,91-95,95-99",2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337459.1,Cy23 [Cynomolgus cytomegalovirus],225,35.24,11.84,1,i199-218o,0.164,No mitochondrial presequence,23(MPP),0.043,74-78,20-29-low,-,-,-,-,-,-,20-25,-,-,19-24,-,-,-,-
YP_009337512.1,Cy102 [Cynomolgus cytomegalovirus],103,41.93,20.54,2,i7-29o68-87i,0.165,No mitochondrial presequence,"66(MPP), 67(Icp55*)",0.061,"6-10,87-91",2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337597.1,Cy197 [Cynomolgus cytomegalovirus],241,131.25,23.01,6,o20-42i84-106o111-133i146-165o170-192i212-234o,0.153,No mitochondrial presequence,19(MPP),0.158,"2-6,16-20,19-23,76-80,96-100",4-13-high,-,-,-,-,-,-,-,-,-,-,-,"1-6,15-20",2-7,-
YP_009337598.1,Cy198 [Cynomolgus cytomegalovirus],274,146.48,22.14,7,i31-53o68-87i94-116o120-142i149-168o178-197i210-232o,0.324,No mitochondrial presequence,36(MPP),0.194,6-10,3-12-high,-,-,-,-,6-11,-,-,-,-,-,-,-,-,-
YP_009337529.1,Cy124 [Cynomolgus cytomegalovirus],671,40.49,0.06,2,o159-181i218-240o,0.110,No mitochondrial presequence,43(MPP),0.140,52-56,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337624.1,hypothetical protein [Hubei permutotetra-like virus 3],199,64.25,13.75,3,i48-65o100-122i156-175o,0.248,No mitochondrial presequence,23(MPP),0.348,,4-13-high,-,11-16,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337645.1,RNA-dependent RNA polymerase [Hubei zhaovirus-like virus 1],1436,90.68,17.30,4,o4-21i641-663o761-783i790-812o,0.187,No mitochondrial presequence,36(MPP),0.139,,1-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337660.1,hypothetical protein [Hubei virga-like virus 21],195,97.09,23.31,4,i26-48o90-112i119-150o160-182i,0.802,Possessing mitochondrial presequence,19(MPP),0.316,"28-32,62-66,78-82,86-90",19-28-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337672.1,hypothetical protein [Wenzhou picorna-like virus 44],3565,70.43,0.05,2,o391-413i464-486o,0.202,No mitochondrial presequence,49(MPP),0.102,65-69,3-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337745.1,hypothetical protein [Sanxia picorna-like virus 10],3099,123.12,0.00,4,o146-168i175-197o838-860i867-884o,0.119,No mitochondrial presequence,19(MPP),0.211,,17-26-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337755.1,hypothetical protein 1 [Sanxia picorna-like virus 9],1682,45.82,0.00,2,o763-785i845-862o,0.216,No mitochondrial presequence,10(MPP),0.300,65-69,9-18-high,-,-,-,-,-,-,-,-,-,-,1-6,-,-,-
YP_009337802.1,hypothetical protein 1 [Hubei tombus-like virus 43],925,66.86,23.09,3,i21-43o69-88i231-253o,0.185,No mitochondrial presequence,21(MPP),0.238,,3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337816.1,hypothetical protein 1 [Beihai tombus-like virus 2],328,21.71,0.00,1,i104-123o,0.159,No mitochondrial presequence,"33(MPP), 34(Icp55*)",0.242,"1-5,8-12,19-23,30-34",1-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337822.1,hypothetical protein [Hubei virga-like virus 12],244,31.38,22.95,1,i20-42o,0.120,No mitochondrial presequence,54(MPP),0.093,67-71,1-10-low,-,-,-,-,-,4-9,-,-,-,-,-,-,-,3-8
YP_009337900.1,hypothetical protein [Hubei Wuhan insect virus 9],236,66.78,0.00,3,i78-100o160-182i194-209o,0.414,Possessing mitochondrial presequence,35(MPP),0.286,68-72,14-23-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009337902.1,hypothetical protein [Hubei Wuhan insect virus 9],406,28.17,0.20,1,o372-394i,0.107,No mitochondrial presequence,28(MPP),0.071,10-14,9-18-high,-,-,-,-,-,-,-,-,-,-,-,9-14,-,-
YP_009337903.1,hypothetical protein [Hubei Wuhan insect virus 9],224,77.61,0.02,4,o73-95i116-138o153-175i187-206o,0.679,Possessing mitochondrial presequence,28(MPP),0.321,"61-65,89-93",4-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342314.1,hypothetical protein 3 [Wenzhou tapeworm virus 1],135,18.63,18.62,1,i13-35o,0.248,No mitochondrial presequence,46(MPP),0.087,,2-13-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,17-22
YP_009342061.1,hypothetical protein [Wuhan arthropod virus 1],673,21.52,21.32,1,i20-42o,0.479,Possessing mitochondrial presequence,15(MPP),0.200,"3-7,79-83,92-96",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342293.1,hypothetical protein 1 [Wenzhou tombus-like virus 10],833,118.25,0.01,5,o92-114i477-499o691-713i734-756o771-793i,0.886,Possessing mitochondrial presequence,29(MPP),0.241,"9-13,42-46",7-16-high,-,-,-,6-11,-,-,12-17,-,16-21,-,-,-,-,-
YP_009342294.1,hypothetical protein 2 [Wenzhou tombus-like virus 10],559,20.92,0.02,1,o436-458i,0.116,No mitochondrial presequence,21(MPP),0.095,72-76,4-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342304.1,hypothetical protein [Wuchan romanomermis nematode virus 3],258,16.97,4.69,1,i55-77o,0.623,Possessing mitochondrial presequence,"27(MPP), 28(Icp55*)",0.296,,20-29-high,-,-,-,-,-,-,24-29,-,-,-,-,-,-,23-28
YP_009310124.1,hypothetical protein GMAR_ORF7 [Golden Marseillevirus],92,43.89,27.20,2,o26-48i53-75o,0.168,No mitochondrial presequence,13(MPP),0.154,"81-85,87-91",9-18-high,-,-,-,-,-,-,-,-,8-13,-,-,-,-,-
YP_009310137.1,hypothetical protein GMAR_ORF20 [Golden Marseillevirus],123,20.25,20.18,1,o37-55i,0.159,No mitochondrial presequence,24(MPP),0.083,34-38,8-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342335.1,hypothetical protein [Wuhan heteroptera virus 1],533,89.07,0.00,4,o76-98i111-133o138-153i160-193o,0.194,No mitochondrial presequence,24(MPP),0.125,,6-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342437.1,hypothetical protein [Wuhan house centipede virus 1],195,57.07,0.60,1,i173-190o,0.461,Possessing mitochondrial presequence,"62(MPP), 63(Icp55*)",0.194,"48-52,59-63",1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342452.1,hypothetical protein [Wuhan insect virus 21],188,57.54,16.84,3,i43-65o135-157i164-178o,0.997,Possessing mitochondrial presequence,27(MPP),0.296,"15-19,76-80",10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009342138.1,hypothetical protein LCDVSa070R [Lymphocystis disease virus Sa],113,33.71,12.24,1,i81-103o,0.200,No mitochondrial presequence,25(MPP),0.080,"22-26,96-100",21-30-high,-,-,23-28,-,22-27,-,-,-,-,-,-,-,-,-
YP_009344808.1,minor glycoprotein [Kibale red colobus virus 1],232,40.59,18.27,2,o15-33i193-215o,0.237,No mitochondrial presequence,36(MPP),0.111,"29-33,33-37,76-80,84-88",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_613256.1,p11K protein [Carnation ringspot virus],100,22.12,0.20,1,i66-88o,0.988,Possessing mitochondrial presequence,54(MPP),0.185,"17-21,70-74",15-24-high,-,-,-,-,17-22,-,-,-,-,-,-,-,-,-
YP_009344842.1,hypothetical protein MRV_0015 [Murine roseolovirus],249,32.97,10.29,1,o192-214i,0.174,No mitochondrial presequence,17(MPP),0.059,,1-10-low,-,-,-,-,-,-,-,14-19,-,13-18,-,-,-,-
YP_009344845.1,thymidine kinase [Murine roseolovirus],481,19.89,16.88,1,i24-46o,0.273,No mitochondrial presequence,"67(MPP), 68(Icp55*)",0.075,,3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,7-12
YP_009344877.1,hypothetical protein MRV_0050 [Murine roseolovirus],189,52.73,10.46,2,i57-75o90-112i,0.241,No mitochondrial presequence,73(MPP),0.041,92-96,8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009344884.1,envelope glycoprotein B [Murine roseolovirus],823,32.73,9.52,1,o694-716i,0.152,No mitochondrial presequence,52(MPP),0.058,"2-6,12-16",21-30-low,-,-,-,-,2-7,-,5-10,-,-,-,-,11-16,-,-
YP_009344891.1,c-type lectin domain containing [Murine roseolovirus],192,23.60,21.33,1,i40-62o,0.204,No mitochondrial presequence,"34(MPP), 35(Icp55*)",0.294,,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009344915.1,hypothetical protein MRV_0088 [Murine roseolovirus],117,44.96,23.14,2,o15-37i87-109o,0.208,No mitochondrial presequence,"51(MPP), 52(Icp55*)",0.078,"12-16,72-76,80-84",4-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009344936.1,hypothetical protein MRV_0109 [Murine roseolovirus],152,27.46,24.03,1,i22-44o,0.300,No mitochondrial presequence,13(MPP),0.077,"67-71,71-75",18-27-high,-,-,-,-,-,-,19-24,-,-,-,-,-,-,18-23
YP_009344967.1,polyprotein [Saboya virus],3390,426.23,10.99,16,o713-735i748-770o1110-1132i1145-1167o1187-1209i1264-1286o1306-1328i1340-1362o1366-1385i1438-1460o2138-2160i2179-2201o2221-2243i2275-2294o2341-2363i2407-2429o,0.240,No mitochondrial presequence,17(MPP),0.235,53-57,15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009344968.1,polyprotein [Uganda S virus],3393,404.86,1.80,17,i232-251o256-278i714-736o746-768i1111-1133o1143-1165i1264-1297o1312-1334i1341-1363o1367-1386i1437-1459o2137-2159i2183-2205o2220-2242i2274-2296o2300-2319i2331-2353o,0.314,No mitochondrial presequence,48(MPP),0.229,"14-18,65-69,72-76",8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009344969.1,polyprotein [Jugra virus],3390,408.64,10.79,16,o713-735i742-764o1110-1132i1145-1167o1187-1209i1282-1299o1309-1331i1340-1362o1366-1385i1438-1460o2138-2160i2179-2201o2221-2243i2272-2294o2341-2363i2407-2429o,0.411,Possessing mitochondrial presequence,24(MPP),0.333,"14-18,53-57",8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009344996.1,hypothetical protein [Wuhan insect virus 8],211,58.55,0.00,2,o73-95i190-207o,0.175,No mitochondrial presequence,26(MPP),0.231,,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345003.1,hypothetical protein [Wuhan insect virus 9],406,32.90,0.27,1,o377-399i,0.107,No mitochondrial presequence,28(MPP),0.071,10-14,9-18-high,-,-,-,-,-,-,-,-,-,-,-,9-14,-,-
YP_009345004.1,hypothetical protein [Wuhan insect virus 9],224,74.83,0.00,3,i68-90o153-175i187-206o,0.461,Possessing mitochondrial presequence,28(MPP),0.321,"61-65,89-93",8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345008.1,hypothetical protein 4 [Wuhan spider virus 8],413,18.18,14.24,1,i44-61o,0.143,No mitochondrial presequence,24(MPP),0.167,"79-83,82-86,96-100",1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345019.1,polyprotein [Nounane virus],3442,464.43,20.67,21,i38-60o111-133i245-262o272-291i738-760o770-792i1167-1189o1213-1235i1244-1263o1304-1326i1375-1397o1402-1424i1477-1499o2186-2203i2210-2227o2231-2253i2266-2288o2321-2343i2350-2372o2392-2414i2456-2475o,0.872,Possessing mitochondrial presequence,"57(MPP), 58(Icp55*)",0.175,"31-35,44-48,54-58",7-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345020.1,hypothetical protein [Zhejiang mosquito virus 1],3113,72.82,0.00,3,i233-252o267-289i316-338o,0.211,No mitochondrial presequence,30(MPP),0.100,28-32,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345031.1,polyprotein [Meaban virus],3421,381.19,6.34,15,i94-116o717-739i746-768o1149-1171i1287-1309o1319-1341i1354-1376o1380-1398i1445-1467o2159-2181i2188-2207o2211-2228i2241-2263o2300-2319i2357-2379o,0.837,Possessing mitochondrial presequence,"34(MPP), 35(Icp55*)",0.294,"13-17,40-44,57-61,76-80",1-10-high,-,-,-,-,13-18,16-21,-,-,-,-,-,-,-,-
YP_009345035.1,polyprotein [Kadam virus],3404,442.66,11.18,19,i91-113o714-736i743-765o1121-1140i1147-1169o1179-1201i1222-1241o1254-1276i1283-1302o1317-1339i1352-1369o1373-1390i1445-1467o2149-2171i2176-2198o2202-2219i2232-2254o2288-2305i2344-2366o,0.447,Possessing mitochondrial presequence,25(MPP),0.280,"34-38,41-45,77-81",8-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345036.1,polyprotein [Bamaga virus],3400,429.30,16.28,17,i35-52o720-742i749-771o1153-1175i1195-1217o1247-1266i1287-1305o1320-1342i1349-1371o1375-1394i1447-1469o2151-2173i2180-2199o2203-2220i2233-2255o2351-2373i2417-2439o,0.175,No mitochondrial presequence,88(MPP),0.227,71-75,18-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345037.1,polyprotein [Saumarez Reef virus],3422,367.25,14.75,14,o719-741i748-770o1154-1173i1320-1342o1357-1375i1382-1400o1456-1478i1491-1513o2161-2183i2190-2209o2213-2230i2243-2265o2303-2320i2361-2383o,0.278,No mitochondrial presequence,"34(MPP), 35(Icp55*)",0.324,"40-44,57-61,76-80",1-10-high,-,-,-,-,-,16-21,-,-,-,-,-,-,-,-
YP_009345050.1,putative glycoprotein 1 [Wuhan pillworm virus 2],499,23.41,0.66,1,o453-475i,0.229,No mitochondrial presequence,29(MPP),0.103,"5-9,20-24",15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345054.1,hypothetical protein 1 [Wuhan millipede virus 3],2189,74.36,0.00,2,o179-213i237-259o,0.145,No mitochondrial presequence,41(MPP),0.049,32-36,20-29-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345111.1,Capsid [Wuhan pillworm virus 3],449,19.92,0.00,1,i123-145o,0.167,No mitochondrial presequence,17(MPP),0.235,,21-30-low,-,-,-,10-15,-,-,-,-,-,-,-,-,-,-
YP_009345121.1,putative capsid protein [Xingshan nematode virus 5],356,21.13,11.42,1,i49-71o,0.574,Possessing mitochondrial presequence,48(MPP),0.312,,13-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345275.1,glycosyltransferase [Noumeavirus],294,18.78,0.00,1,o274-291i,0.530,Possessing mitochondrial presequence,80(MPP),0.075,"41-45,54-58,77-81",10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345606.1,hypothetical protein LbFV_ORF2 [Leptopilina boulardi filamentous virus],334,19.23,0.00,1,i168-187o,0.191,No mitochondrial presequence,17(MPP),0.294,"26-30,63-67",18-27-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345616.1,hypothetical protein LbFV_ORF12 [Leptopilina boulardi filamentous virus],59,18.60,18.60,1,i21-38o,0.408,Possessing mitochondrial presequence,35(MPP),0.229,"2-6,5-9,18-22,45-49",16-26-high,-,-,-,-,18-23,-,21-26,-,10-15,-,9-14,-,-,-
YP_009345710.1,putative ODV protein [Leptopilina boulardi filamentous virus],685,52.37,20.91,1,i13-35o,0.150,No mitochondrial presequence,36(MPP),0.139,,7-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009345907.1,non-structural polyprotein [Bat dicibavirus],1770,112.48,0.00,4,o794-816i836-853o863-885i911-930o,0.312,No mitochondrial presequence,"44(MPP), 52(Oct1)",0.045,"19-23,22-26,26-30",15-24-high,-,-,-,-,19-24,-,-,-,-,-,-,25-30,-,-
YP_009345990.1,ACH96187.1 patatin-like phospholipase-like protein [Kallithea virus],585,23.18,22.34,1,i28-50o,0.159,No mitochondrial presequence,26(MPP),0.154,74-78,1-12-low,-,-,-,-,-,-,16-21,-,-,-,-,-,-,-
YP_009345969.1,ACH96245.1 odv-e56-like protein [Kallithea virus],389,22.90,0.00,1,o358-380i,0.906,Possessing mitochondrial presequence,"15(MPP), 23(Oct1)",0.067,"9-13,12-16,41-45,68-72,77-81",9-18-high,-,-,-,-,"9-14,12-17",-,-,-,-,-,-,-,-,-
YP_009345930.1,ACH96256.1 p74 protein-like protein [Kallithea virus],731,59.21,0.00,3,o509-531i662-684o688-710i,0.166,No mitochondrial presequence,27(MPP),0.111,25-29,19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009121777.1,GP2b protein [DeBrazza's monkey arterivirus],235,25.56,3.48,1,o207-229i,0.244,No mitochondrial presequence,32(MPP),0.062,80-84,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009350103.1,polyprotein [Yaounde virus],3430,401.43,16.39,16,o44-66i106-124o250-269i276-298o742-764i771-790o1176-1198i1341-1363o1398-1417i1473-1495o2170-2192i2197-2219o2224-2241i2253-2275o2308-2330i2363-2385o,0.192,No mitochondrial presequence,33(MPP),0.242,"21-25,30-34,78-82",15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009351826.1,hypothetical protein 3 [Biratnagar virus],194,65.04,13.05,2,o45-67i162-181o,0.722,Possessing mitochondrial presequence,19(MPP),0.263,"25-29,41-45,80-84",21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009351828.1,hypothetical protein 2 [San Bernardo virus],400,45.09,0.81,2,o335-357i369-391o,0.138,No mitochondrial presequence,"23(MPP), 24(Icp55*)",0.087,,16-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009249819.1,GP5 protein [Free State vervet virus],244,48.86,3.53,2,i112-134o149-168i,0.210,No mitochondrial presequence,18(MPP),0.056,,5-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009249820.1,M protein [Free State vervet virus],159,60.05,40.41,3,o10-29i36-53o58-80i,0.441,Possessing mitochondrial presequence,35(MPP),0.086,"2-6,25-29,71-75",18-27-high,-,-,-,-,25-30,-,-,-,-,-,-,1-6,2-7,-
YP_009351877.1,polyprotein [Tucunduba virus],1419,146.99,0.43,7,o198-220i227-245o260-277i310-332o363-385i456-473o1373-1395i,0.203,No mitochondrial presequence,"23(MPP), 24(Icp55*)",0.043,"1-5,20-24",16-25-low,-,-,-,-,-,-,-,-,-,-,-,19-24,20-25,-
YP_009352270.1,putative tail tape measure protein [Rhizobium phage RHEph10],1566,43.14,0.01,2,o337-359i411-433o,0.746,Possessing mitochondrial presequence,24(MPP),0.083,"22-26,64-68",8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
